username,match,date,unixdate
marykatkins,85,2012-11-08 20:19:11 -0500,1352423951
flashtastic1,93,2012-11-08 20:19:42 -0500,1352423982
cshachar,95,2012-11-08 20:20:14 -0500,1352424014
sassy_674,90,2012-11-08 20:21:06 -0500,1352424066
Kathleen934,90,2012-11-08 20:21:09 -0500,1352424069
climbersteph,89,2012-11-08 20:21:11 -0500,1352424071
okelligator,85,2012-11-08 20:21:14 -0500,1352424074
UneMarguerite,93,2012-11-08 20:21:16 -0500,1352424076
SgtPepperjack,91,2012-11-08 20:21:19 -0500,1352424079
madie_licious,93,2012-11-08 20:21:21 -0500,1352424081
enough_toomuch,95,2012-11-08 20:21:24 -0500,1352424084
OhMissM,90,2012-11-08 20:21:26 -0500,1352424086
bronzeduck,92,2012-11-08 20:21:29 -0500,1352424089
LizMcBoston,88,2012-11-08 20:21:31 -0500,1352424091
esquila,90,2012-11-08 20:21:34 -0500,1352424094
trillviaplath,92,2012-11-08 20:21:36 -0500,1352424096
ellewolfe,88,2012-11-08 20:21:39 -0500,1352424099
ThreeToTheBeach,84,2012-11-08 20:21:41 -0500,1352424101
rsylvia,91,2012-11-08 20:21:44 -0500,1352424104
kitkakoshka,94,2012-11-08 20:21:46 -0500,1352424106
cricketasaurus,93,2012-11-08 20:21:49 -0500,1352424109
CatMor,86,2012-11-08 20:21:51 -0500,1352424111
peridot86,91,2012-11-08 20:40:19 -0500,1352425219
turtle_island,93,2012-11-08 20:40:21 -0500,1352425221
pumpkin_dreams,92,2012-11-08 20:40:24 -0500,1352425224
cass39,85,2012-11-08 20:40:26 -0500,1352425226
JAD1022,92,2012-11-08 20:40:29 -0500,1352425229
d_elsbeth,85,2012-11-08 20:40:31 -0500,1352425231
Eliiana,90,2012-11-08 20:40:34 -0500,1352425234
pumpkincouture,92,2012-11-08 20:40:36 -0500,1352425236
kme7151,88,2012-11-08 20:40:39 -0500,1352425239
AllstonGirl82,81,2012-11-08 20:40:41 -0500,1352425241
undahscoahtaco,94,2012-11-08 20:40:44 -0500,1352425244
lizardaroo,85,2012-11-08 20:40:46 -0500,1352425246
myriadgreen,90,2012-11-08 20:40:49 -0500,1352425249
SamSBC,90,2012-11-08 20:40:51 -0500,1352425251
EAK36,89,2012-11-08 20:40:54 -0500,1352425254
lightwithlight,77,2012-11-08 20:40:56 -0500,1352425256
tomselleckstache,87,2012-11-08 20:40:59 -0500,1352425259
kelly1023,95,2012-11-08 20:41:01 -0500,1352425261
lisam1026,83,2012-11-08 20:41:04 -0500,1352425264
L0tus_flower,92,2012-11-08 20:41:06 -0500,1352425266
AFemalePerson,91,2012-11-08 20:41:09 -0500,1352425269
Sandmanasaurus,93,2012-11-08 20:41:11 -0500,1352425271
gaitgirl,82,2012-11-08 20:41:14 -0500,1352425274
twirl2010,81,2012-11-08 20:41:16 -0500,1352425276
